Graph #1

Temperature effect on Nitrogen

Temperature, Scenario #1, Scenario #2, Scenario #3
10.0, 252.416426232, 109.477818974, 317.21267128

===========================

Graph #6

Relative Humidity effect on Potasium

Relative Humidity, Scenario #1, Scenario #2, Scenario #3
5.0, 51.3410065327, 26.0027027786, 60.2261380778
5.25, 52.4739303919, 26.9860918656, 61.2679685349
5.5, 53.6655369609, 28.0532934674, 62.3570184682
5.75, 54.9165260128, 29.1975508481, 63.4911953545
6.0, 56.2271405024, 30.407869463, 64.6675848613
6.25, 57.5971651025, 31.6706361309, 65.8824431291
6.5, 59.0259462487, 32.9720050108, 67.131224122
6.75, 60.5124258069, 34.3003109876, 68.4086465056
7.0, 62.0551684482, 35.6477333829, 69.7088024063
7.25, 63.6523463288, 37.0107654321, 71.0253077704
7.5, 65.3016262481, 38.3895339042, 72.3514911294
7.75, 66.9998916939, 39.7863899456, 73.6806146808
8.0, 68.742740157, 41.2043154648, 75.0061189868
8.25, 70.5237464302, 42.6455837407, 76.3218803921
8.5, 72.3335927783, 44.1108970549, 77.622468292
8.75, 74.1593249554, 45.5990196968, 78.9033870354
9.0, 75.9841283733, 47.1068002314, 80.1612834355
9.25, 77.7880065175, 48.6294390854, 81.3940941503
9.5, 79.549486713, 50.1608760093, 82.6010965198
9.75, 81.2480357327, 51.6942109742, 83.7828127213
10.0, 82.8664894911, 53.2221082517, 84.9407062235

===========================

Graph #7

Relative Humidity effect on Calcium

Relative Humidity, Scenario #1, Scenario #2, Scenario #3
5.0, 114.531611387, 112.767135242, 8.6249247377
5.25, 113.739749237, 109.62801419, 7.22760867817
5.5, 112.859537675, 106.554725985, 5.7592662813
5.75, 111.909877374, 103.873617707, 4.2298153788
6.0, 110.915953564, 101.94131127, 2.65122738742
6.25, 109.909856448, 101.084107933, 1.03754369172
6.5, 108.930778703, 101.53077073, -0.595136691732
6.75, 108.024437759, 103.357368332, -2.22868624925
7.0, 107.241243356, 106.461135808, -3.84297822528
7.25, 106.632647656, 110.573410741, -5.41589670439
7.5, 106.245185556, 115.310839536, -6.92330985011
7.75, 106.112106718, 120.250939833, -8.33899742733
8.0, 106.243392888, 125.008471314, -9.63454382162
8.25, 106.616350234, 129.290010425, -10.7792448488
8.5, 107.170423416, 132.915934924, -11.7401381725
8.75, 107.810338767, 135.813461867, -12.4823613174
9.0, 108.419890433, 137.99276353, -12.9701727787
9.25, 108.884397869, 139.518460126, -13.169130307
9.5, 109.11502322, 140.48446065, -13.0500567506
9.75, 109.06615904, 140.995350322, -12.5954110645
10.0, 108.739982935, 141.154363745, -11.8082821581

===========================

Graph #8

Relative Humidity effect on Suitability

Relative Humidity, Scenario #1, Scenario #2, Scenario #3
0, -1, -1, -1
5.0, 1, 1, 1
5.25, 1, 1, 1
5.5, 1, 1, 1
5.75, 1, 1, 1
6.0, 1, 1, 1
6.25, 1, 1, 1
6.5, 1, 1, 1
6.75, 1, 0, 1
7.0, 1, 0, 1
7.25, 1, 0, 1
7.5, 1, 0, 1
7.75, 1, 0, 1
8.0, 1, 0, 1
8.25, 1, 0, 1
8.5, 1, 0, 1
8.75, 1, 0, 1
9.0, 1, 0, 1
9.25, 1, 0, 1
9.5, 0, 0, 1
9.75, 0, 0, 1
10.0, 0, 0, 1
0, 3, 3, 3

===========================

Graph #9

Radiation effect on Nitrogen

Radiation, Scenario #1, Scenario #2, Scenario #3
0.5, 234.779410241, 105.025925664, 269.439432542
0.55, 238.630035718, 106.481608652, 273.581730566
0.6, 243.20681283, 108.395846619, 278.376826231
0.65, 248.333724921, 110.73206396, 283.68470331
0.7, 253.712161738, 113.412530627, 289.270483141
0.75, 258.968364893, 116.316750236, 294.841014316
0.8, 263.734797029, 119.288208509, 300.102117129
0.85, 267.730663476, 122.154073142, 304.811986683
0.9, 270.807159131, 124.755577201, 308.811104751
0.95, 272.94695639, 126.977715244, 312.025290676
1.0, 274.231964851, 128.765157389, 314.450917763
1.05, 274.801175957, 130.119528589, 316.13357569
1.1, 274.814041371, 131.083444486, 317.147865249
1.15, 274.425260026, 131.720810977, 317.581868023
1.2, 273.770575039, 132.10051067, 317.527016339
1.25, 272.960797612, 132.286116393, 317.07252689
1.3, 272.081116771, 132.331078844, 316.302912381
1.35, 271.193382835, 132.277627211, 315.297077248
1.4, 270.339769766, 132.157679059, 314.127874107
1.45, 269.546805854, 131.994565967, 312.861507406
1.5, 268.829187247, 131.804891063, 311.556640037

===========================

Graph #10

Radiation effect on Potasium

Radiation, Scenario #1, Scenario #2, Scenario #3
0.5, 86.4346896069, 41.4941544434, 95.5466233081
0.55, 85.0363698591, 39.369779366, 95.1920472503
0.6, 83.4137627291, 37.3087176757, 94.7425627282
0.65, 81.5668900965, 35.3275505982, 94.1851897332
0.7, 79.5127537563, 33.4421722375, 93.5109179031
0.75, 77.2854444884, 31.6706361309, 92.7167097865
0.8, 74.9320184952, 30.0336017441, 91.805903753
0.85, 72.5058355383, 28.5514874626, 90.7861506182
0.9, 70.0602328339, 27.2395731745, 89.6653675687
0.95, 67.6444272237, 26.1037835278, 88.447671234
1.0, 65.3016262481, 25.1393598764, 87.1314820818
1.05, 63.0682696955, 24.3326466604, 85.7106803624
1.1, 60.9735181, 23.6645867222, 84.1780423663
1.15, 59.0387811592, 23.114254969, 82.5294227108
1.2, 57.2775075079, 22.6614477621, 80.7673642757
1.25, 55.6954793564, 22.2881298226, 78.9033870354
1.3, 54.2916644462, 21.9789796547, 76.958662614
1.35, 53.0594882164, 21.7213793762, 74.9630616042
1.4, 51.9882997845, 21.5051311914, 72.9527814244
1.45, 51.0648145213, 21.3220801077, 70.966987783
1.5, 50.2743798251, 21.1657383451, 69.044088371

===========================

Graph #11

Radiation effect on Calcium

Radiation, Scenario #1, Scenario #2, Scenario #3
0.5, 70.5829721709, 93.8798204974, -23.2975726626
0.55, 72.358015056, 93.1526562998, -22.5702499268
0.6, 74.6386123922, 93.0341052526, -21.7388137568
0.65, 77.4542769766, 94.0900140358, -20.8640015171
0.7, 80.7773983133, 96.7334272687, -20.0383125045
0.75, 84.5265703186, 101.084107933, -19.3653033838
0.8, 88.5926555656, 106.908839338, -18.9226005308
0.85, 92.8712776484, 113.679485864, -18.7239863172
0.9, 97.2807074155, 120.733280739, -18.7021975259
0.95, 101.758224344, 127.461802145, -18.72374317
1.0, 106.245185556, 133.441824167, -18.626771215
1.05, 110.675293891, 138.469181587, -18.2608377416
1.1, 114.973061645, 142.518046746, -17.5122724976
1.15, 119.06069027, 145.672670244, -16.3121593165
1.2, 122.867840206, 148.066542146, -14.6331268543
1.25, 126.339621282, 149.841995974, -12.4823613174
1.3, 129.440687766, 151.128975679, -9.89511767959
1.35, 132.155479828, 152.036834376, -6.92967383975
1.4, 134.485748519, 152.653362057, -3.66286961254
1.45, 136.446711043, 153.047098978, -0.185062383911
1.5, 138.06291783, 153.270705444, 3.40609116237

===========================

Graph #12

Radiation effect on Suitability

Radiation, Scenario #1, Scenario #2, Scenario #3
0, -1, -1, -1
0.5, 0, 0, 0
0.55, 0, 0, 0
0.6, 0, 0, 0
0.65, 0, 0, 0
0.7, 0, 2, 0
0.75, 1, 1, 0
0.8, 1, 1, 1
0.85, 1, 1, 1
0.9, 1, 1, 1
0.95, 1, 1, 1
1.0, 1, 1, 1
1.05, 1, 1, 1
1.1, 1, 1, 1
1.15, 1, 1, 1
1.2, 1, 1, 1
1.25, 1, 1, 1
1.3, 1, 1, 1
1.35, 1, 1, 1
1.4, 1, 1, 1
1.45, 1, 1, 1
1.5, 1, 1, 1
0, 3, 3, 3

===========================

Graph #13

Site effect on Nitrogen

Site, Scenario #1, Scenario #2, Scenario #3
-1, 0, 0, 0
0, 215.813269359, 116.316750236, 207.259691155
1, 175.381468089, 103.653287506, 168.293111473
2, 111.684459616, 81.6968675934, 168.293111473
3, 220, 220, 220

===========================

Graph #14

Site effect on Potasium

Site, Scenario #1, Scenario #2, Scenario #3
-1, 0, 0, 0
0, 48.3873336503, 31.6706361309, 45.9310790855
1, 41.1255805794, 29.1476345959, 38.528038416
2, 28.4855225255, 23.7140010045, 38.528038416
3, 50, 50, 50

===========================

Graph #15

Site effect on Calcium

Site, Scenario #1, Scenario #2, Scenario #3
-1, 0, 0, 0
0, 198.590241616, 101.084107933, 37.1269688095
1, 191.423180857, 91.925528668, 70.4045433741
2, 32.7998327617, 0.894695282728, 70.4045433741
3, 200, 200, 200

===========================

Graph #16

Site effect on Suitability

Site, Scenario #1, Scenario #2, Scenario #3
-1, -1, -1, -1
0, 1, 1, 1
1, 1, 1, 1
2, 1, 0, 1
3, 3, 3, 3

===========================

